    23,American Presidents and Education ,"Berube, Maurice R.",9780313278488,1991,Greenwood Press,"Family, Childhood, & Education; History & Social Studies; Social Issues"
    24,"American Theatre: A Chronicle of Comedy and Drama, 1869-1914","Bordman, Gerald",9780195037647,1994,Oxford University Press,"Fiction & Literature; History & Social Studies; Music, TV, Movies, & more; Travel & Places"
    25,An Introduction to Critical Discourse Analysis in Education ,"Rogers, Rebecca",9780805848175,2003,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Social Issues"
    26,An Introduction to Judaism ,"Lange, Nicholas de",9780521460736,2000,Cambridge University Press,Religion & Beliefs
    27,Anatomy of a Public Policy: The Reform of Contemporary American Immigration Law,"LeMay, Michael C.",9780275949020,1994,Praeger Publishers,Social Issues
    28,Ancient Earthen Enclosures of the Eastern Woodlands ,"Mainfort, Robert C., Jr.",9780813015927,1998,University Press of Florida,Adventure; Animals; Art; Food & Home; Science & Technology; Social Issues; Travel & Places
    29,Animal Cognition: A Tribute to Donald A. Riley,"Zentall, Thomas R.",9780805811834,1993,Lawrence Erlbaum Associates,Animals; Science & Technology
    30,Anxiety Disorders in Adults: An Evidence-Based Approach to Psychological Treatment,"McLean, Peter D.",9780195116250,2001,Oxford University Press,Health; Science & Technology; Social Issues
    31,Applications of Dynamic Programming to Agricultural Decision Problems ,"Taylor, C. Robert",9780813386416,1993,Westview Press,Nature; Science & Technology
    32,Applied Communication Theory and Research ,"O'Hair, Dan",9780805804003,1990,Lawrence Erlbaum Associates,Reference & Languages
    33,Approaches to Joyce's Portrait: Ten Essays,"Staley, Thomas F.",9780822933311,1976,University of Pittsburgh Press,Fiction & Literature
    34,Arabs and Jews in Israel ,"Smooha, Sammy",9780813307558,1989,Westview Press,Science & Technology; Social Issues
    35,Archaeological Perspectives on the Origins of Modern Humans: A View from the Levant,"Kaufman, Daniel",9780897895781,1999,Bergin & Garvey,Adventure; Animals; Nature; Philosophy; Science & Technology; Social Issues
    36,As Others Read Us: International Perspectives on American Literature,"Gutman, Huck",9780870236297,1991,University of Massachusetts Press,Fiction & Literature
    37,Assembling and Supporting the Joint Strike Fighter in the UK: Issues and Costs,"Cook, Cynthia R.",9780833034632,2003,Rand,History & Social Studies; Transportation; Travel & Places
    38,Assessing Tax Reform ,"Aaron, Henry J.",9780815700371,1985,The Brookings Institution,Business & Law
    39,Assessing the Progress of New American Schools: A Status Report,"Berends, Mark",9780585349251,1999,Rand,"Family, Childhood, & Education; Social Issues"
    40,"At the Edge of Empire: The Terek Cossacks and the North Caucasus Frontier, 1700-1860","Barrett, Thomas M.",9780813336718,1999,Westview Press,History & Social Studies; Social Issues
    41,Australian Movies and the American Dream ,"Lewis, Glen",9780275926755,1987,Praeger Publishers,"Music, TV, Movies, & more"
    42,Bangladesh: The Test Case of Development,"Faaland, Just",9780891585466,1976,Westview Press,Business & Law
    43,Barbarians in Greek Comedy ,"Long, Timothy",9780809312481,1986,Southern Illinois University Press,"Fiction & Literature; History & Social Studies; Music, TV, Movies, & more; Social Issues"
    44,Bartok's Viola Concerto: The Remarkable Story of His Swansong,"Maurice, Donald G.",9780195156904,2004,Oxford University Press,"Music, TV, Movies, & more"
    45,Baseball Economics: Current Research,"Fizel, John",9780275955595,1996,Praeger Publishers,Business & Law; Social Issues; Sports
    46,Benedetto Croce's Poetry and Literature: An Introduction to Its Criticism and History,"Croce, Benedetto",9780809309825,1981,Southern Illinois University Press,Fiction & Literature
    47,Bergson and American Culture:  The Worlds of Willa Cather and Wallace Stevens,"Quirk, Tom",9780807818800,1990,University of North Carolina Press,Fiction & Literature; History & Social Studies; Travel & Places
    48,Beyond the Dead-End Alley of Mass Education ,"Addler, Chaim",9780813317786,1994,Westview Press,"Family, Childhood, & Education; Science & Technology"
    49,Beyond the Marketplace: Rethinking Economy and Society,"Friedland, Roger",9780202303703,1990,Aldine De Gruyter,"Business & Law; Family, Childhood, & Education; Social Issues"
    50,Biological-Psychosocial Interactions in Early Adolescence ,"Lerner, Richard M.",9780898597875,1987,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology"
    51,Black Women Writers and the American Neo-Slave Narrative: Femininity Unfettered,"Beaulieu, Elizabeth Ann",9780313308383,1999,Greenwood Press,Fiction & Literature; Social Issues
    52,"Buddhism after Patriarchy: A Feminist History, Analysis, and Reconstruction of Buddhism","Gross, Rita M.",9780791414033,1993,State University of New York Press,Religion & Beliefs
    53,Bukharin in Retrospect ,"Bergmann, Theodor",9780873326919,1994,M.E. Sharpe,Biography; History & Social Studies; Social Issues
    54,"Business, Ethics, and the Environment: The Public Policy Debate","Hoffman, W. Michael",9780899305509,1990,Quorum Books,Business & Law; Social Issues
    55,Campfollowing: A History of the Military Wife,"Alt, Betty S.",9780275937225,1991,Praeger,History & Social Studies; Military; Travel & Places
    56,Cato Handbook for Congress: Policy Recommendations for the 108th Congress,"Crane, Edward H.",9781930865396,2003,Cato Institute,Business & Law; Social Issues
    57,Central Asia in Transition: Dilemmas of Political and Economic Development,"Rumer, Boris",9781563247668,1996,M. E. Sharpe,Business & Law; Social Issues
    58,Ceramic Production and Distribution: An Integrated Approach,"Bey, George J., III",9780813379203,1992,Westview Press,Adventure; Animals; Science & Technology; Social Issues
    59,Changing Bureaucratic Behavior: Acquisition Reform in the United States Army,"Schmidt, Conrad P.",9780833027566,2000,Rand,History & Social Studies; Military; Travel & Places
    60,Changing Uganda: The Dilemmas of Structural Adjustment & Revolutionary Change,"Hansen, Holger Bernt",9780852553497,1991,James Currey,Social Issues
    61,Child Care in Context: Cross-Cultural Perspectives,"Lamb, Michael E.",9780805807974,1992,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Social Issues"
    62,Child Maltreatment: Expanding Our Concept of Helping,"Rothery, M.",9780805804553,1990,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
    63,Children and Television: A Challenge for Education,"Manley-Casimir, Michael E.",9780275923556,1987,Praeger Publishers,Social Issues
    64,"Children, Adolescents & AIDS ","Seibert, Jeffrey M.",9780803241862,1989,University of Nebraska Press,Health; Social Issues
    65,"Children, Ethics, & the Law: Professional Issues and Cases","Koocher, Gerald P.",9780803247314,1990,University of Nebraska Press,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
    66,"China, the United States, and the Global Economy ","Chen, Shuxun",9780833029638,2001,Rand,Business & Law; Social Issues
    67,China: Transition to a Market Economy,"Chai, Joseph C.",9780198294306,1998,Oxford University Press,Business & Law; Social Issues
    68,Choctaws at the Crossroads: The Political Economy of Class and Culture in the Oklahoma Timber Region,"Faiman-Silva, Sandra",9780803269026,2000,University of Nebraska Press,History & Social Studies; Travel & Places
    69,Christianity and Judaism: The Deepening Dialogue,"Rousseau, Richard W.",9780940866027,1983,Ridge Row Press,Religion & Beliefs
    70,Churchgoing and Christian Ethics ,"Gill, Robin",9780521570589,1999,Cambridge University Press,Religion & Beliefs
    71,Cities in American History ,"Jackson, Kenneth T.",9780394475585,1972,Alfred A. Knopf,Social Issues
    72,Cognitive Approaches to Human Perception ,"Ballesteros, Soledad",9780805810431,1994,Lawrence Erlbaum Associates,Health; Science & Technology
    73,Cognitive Responses in Persuasion ,"Petty, Richard E.",9780898590258,1981,Lawrence Erlbaum Associates,Health; Reference & Languages; Science & Technology
    74,Cognitive Styles and Classroom Learning ,"Morgan, Harry",9780275956844,1997,Praeger Publishers,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
    75,Cognitive Theory ,"Castellan, N. J., Jr.",9780470263754,1978,Lawrence Erlbaum Associates,Health; Science & Technology
    76,"Cold War Europe, 1945-1991: A Political History","Young, John",9780340625163,1996,Arnold,History & Social Studies; Social Issues
    77,Collective Bargaining for Public Employees ,"Marx, Herbert L.",9780824201104,1969,Wilson,Business & Law
    78,Combatting Child Abuse: International Perspectives and Trends,"Gilbert, Neil",9780195100099,1997,Oxford University Press,"Family, Childhood, & Education; Social Issues"
    79,Communities of the Heart: The Rhetoric of Myth in the Fiction of Ursula K. le Guin,"Rochelle, Warren G.",9780853238768,2001,Liverpool University Press,Fiction & Literature
    80,Comparative Politics Today: A World View,"Almond, Gabriel A.",9780316034975,1974,"Little, Brown",Social Issues
    81,Conative and Affective Process Analysis ,"Snow, Richard E.",9780898597219,1987,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Social Issues"
    82,"Conceptualizing Religion: Immanent Anthropologists, Transcendent Natives, and Unbounded Categories","Saler, Benson",9781571812193,2000,Berghahn Books,Philosophy; Religion & Beliefs
    83,Conditionals ,"Woods, Michael",9780198751267,1997,Clarendon Press,Science & Technology
    84,Connectionist Models of Social Reasoning and Social Behavior ,"Read, Stephen J.",9780805822151,1998,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
    85,Conrad and Cinema: The Art of Adaptation,"Phillips, Gene D.",9780820426693,1997,Peter Lang,"Fiction & Literature; History & Social Studies; Music, TV, Movies, & more"
    86,Conservation and Economic Efficiency: An Approach to Materials Policy,"Page, Talbot",9780801819049,1977,The Johns Hopkins University Press,Nature; Social Issues
    87,Contemporary Art and the Home ,"Painter, Colin",9781859736562,2002,Berg,Art; Food & Home; Travel & Places
    88,Contemporary Austrian Politics ,"Lauber, Volkmar",9780813328904,1996,Westview Press,Social Issues
    89,Context and Development ,"Cohen, Robert",9780805804812,1991,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology"
    90,Continuity and Change in House Elections ,"Brady, David W.",9780804737371,2000,Stanford University Press,History & Social Studies; Social Issues; Travel & Places
    91,Contracting Colonialism: Translation and Christian Conversion in Tagalog Society under Early Spanish Rule,"Rafael, Vicente L.",9780822313410,1993,Duke University Press,History & Social Studies; Religion & Beliefs; Travel & Places
    92,Contradictions of School Reform: Educational Costs of Standardized Testing,"McNeil, Linda",9780415920735,2000,Routledge,"Family, Childhood, & Education; Social Issues"
    93,"Contrary Things: Exegesis, Dialectic, and the Poetics of Didacticism","Brown, Catherine",9780804730099,1998,Stanford University,"Family, Childhood, & Education; Fiction & Literature; Philosophy; Social Issues"
    94,"Conversion Survey, 1996: Global Disarmament, Demilitarization, and Demobilization",Bonn International Center for Conversion Staff,9780198280873,1996,Oxford University Press,Business & Law; Social Issues
    95,Coordination Theory and Collaboration Technology ,"Olson, Gary M.",9780805834031,2001,Lawrence Erlbaum Associates,Reference & Languages; Science & Technology
    96,"Corporate Society: Class, Property, and Contemporary Capitalism","McDermott, John",9780813307084,1991,Perseus Books,Social Issues
    97,"Countertransference: Theory, Technique, Teaching","Alexandris, Athina",9781855750289,1993,Karnac Books,Health; Science & Technology
    98,"Creating the Modern South: Millhands and Managers in Dalton, Georgia, 1884-1984","Flamming, Douglas",9780807820568,1992,University of North Carolina Press,Art; Business & Law
    99,Critical Theory and Philosophy ,"Ingram, David",9781557782014,1990,Paragon House,Philosophy
   100,Cross-Cultural Analysis of Values and Political Economy Issues ,"Voich, Dan, Jr.",9780275946388,1994,Praeger Publishers,Business & Law; Social Issues
   101,Cyberselfish: A Critical Romp through the Terribly Libertarian Culture of High Tech,"Borsook, Paulina",9781891620782,2000,PublicAffairs,Philosophy; Science & Technology; Social Issues
   102,Daniel Webster ,"Bartlett, Irving H.",9780393075243,1978,W. W. Norton,Biography; History & Social Studies
   103,Dark Cinema: American Film Noir in Cultural Perspective,"Tuska, Jon",9780313230455,1984,Greenwood Press,"Music, TV, Movies, & more"
   104,"De Cive: The Latin Version Entitled in the First Edition Elementorum Philosophi? Sectio Tertia de Cive, and in Later Editions Elementa Philosophica de Cive","Hobbes, Thomas",9780198243854,1983,Oxford University,History & Social Studies; Philosophy
   105,De Grammaticis et Rhetoribus ,"Tranquillus, Suetonius C.",9780198140917,1995,Clarendon Press,Reference & Languages
   106,Deconstructing the Mind ,"Stich, Stephen P.",9780195100815,1996,Oxford University Press,Health; Philosophy; Science & Technology
   107,Democracy & the Arts ,"Simon, John",9780801435416,1999,Cornell University Press,Art; Social Issues
   108,Democracy in the Islands: The Micronesian Plebiscites of 1983,"Ranney, Austin",9780844735771,1985,American Enterprise Institute,History & Social Studies; Social Issues; Travel & Places
   109,Democracy in the Russian School: The Reform Movement in Education since 1984,"Eklof, Ben",9780813313498,1993,Westview Press,"Family, Childhood, & Education; Social Issues"
   110,Democratic Organization for Social Change: Latin American Christian Base Communities and Literacy Campaigns,"Van Vugt, Johannes P.",9780897892452,1991,Bergin & Garvey,History & Social Studies; Religion & Beliefs; Social Issues; Travel & Places
   111,Demythologizing Heidegger ,"Caputo, John D.",9780253313065,1993,Indiana University Press,History & Social Studies; Philosophy; Religion & Beliefs
   112,"Design: Purpose, Form, and Meaning","Pile, John F.",9780870232572,1979,University of Massachusetts Press,Art; Reference & Languages
   113,Deterrence and Influence in Counterterrorism: A Component in the War on Al Qaeda,"Davis, Paul K.",9780833032867,2002,Rand,History & Social Studies; Social Issues; Travel & Places; True Crime
   114,Development and the Arts: Critical Perspectives,"Franklin, Margery B.",9780805804874,1994,Lawrence Erlbaum Associates,Art
   115,Dialogue with Bakhtin on Second and Foreign Language Learning:  New Perspectives,"Hall, Joan Kelly",9780805850215,2004,Lawrence Erlbaum Associates,History & Social Studies; Philosophy; Reference & Languages
   116,Dickens and the Daughter of the House ,"Schor, Hilary Margo",9780521440769,1999,Cambridge University Press,Fiction & Literature
   117,Dictionary of Subjects and Symbols in Art ,"Hall, James A.",9780064301008,1979,Westview Press,Art; Reference & Languages
   118,Disinheriting the Jews: Abraham in Early Christian Controversy,"Siker, Jeffrey S.",9780664251932,1991,Westminster/John Knox Press,Religion & Beliefs
   119,Disputers of the Tao: Philosophical Argument in Ancient China,"Graham, A. C.",9780812690873,1989,Open Court,Religion & Beliefs
   120,Documents of American Realism and Naturalism ,"Pizer, Donald",9780809320967,1988,Southern Illinois University Press,Fiction & Literature
   121,Dorothy Day and the Catholic Worker ,"Roberts, Nancy L.",9780873959384,1984,State University of New York Press,Biography; Religion & Beliefs
   122,Drug Abuse Treatment: The Implementation of Innovative Approaches,"Tims, Frank M.",9780313289064,1994,Greenwood Press,Health; Science & Technology; Social Issues
   123,Eastern's Armageddon: Labor Conflict and the Destruction of Eastern Airlines,"Saunders, Martha",9780313284540,1992,Greenwood Press,Business & Law; Social Issues
   124,E-Business Fundamentals:  Managing Organisations in the Electronic Age,"Jackson, Paul J.",9780415255943,2003,Routledge,Business & Law; Science & Technology
   125,Ecological Interactions and Biological Control ,"Andow, David A.",9780813387581,1997,Westview Press,Science & Technology
   126,Economic Ideas and Government Policy: Contributions to Contemporary Economic History,"Cairncross, Alec",9780415132459,1996,Routledge,Business & Law; History & Social Studies; Social Issues
   127,Economic Processes and Political Conflicts: Contributions to Modern Political Economy,"England, Richard W.",9780275924515,1987,Praeger Publishers,Business & Law
   128,"Education under Mao: Class and Competition in Canton Schools, 1960-1980","Unger, Jonathan",9780231052986,1982,Columbia University Press,"Family, Childhood, & Education; Social Issues"
   129,"Education, Exclusion and Citizenship ","Parsons, Carl",9780415174961,1999,Routledge,"Family, Childhood, & Education; Social Issues"
   130,Effective Schooling for the Community: Core-Plus Education,"Townsend, Tony",9780415104173,1994,Routledge,"Family, Childhood, & Education; Social Issues"
   131,Emerging Global Business Ethics ,"Hoffman, W. Michael",9780899307497,1994,Quorum Books,Business & Law; Social Issues
   132,Empowering and Healing the Battered Woman: A Model for Assessment and Intervention,"Dutton, Mary A.",9780826171306,1992,Springer,"Family, Childhood, & Education; Social Issues"
   133,Encyclopedia of Literary Modernism ,"Poplawski, Paul",9780313310171,2003,Greenwood Press,Fiction & Literature; Philosophy
   134,Engendering Judaism: An Inclusive Theology and Ethics,"Adler, Rachel",9780827605848,1998,Jewish Publication Society,Religion & Beliefs; Social Issues
   135,Environment and History:  The Taming of Nature in the USA and South Africa,"Beinart, William",9780415114684,1995,Routledge,Nature; Social Issues
   136,Environmental Management in Practice: Managing the Ecosystem,"Nath, Bhaskar",9780415187916,1999,Routledge,Business & Law; Nature; Social Issues
   137,Environments and Historical Change ,"Slack, Paul",9780198233886,1999,Oxford University,History & Social Studies
   138,Equilibrium versus Understanding: Towards the Restoration of Economics as Social Theory,"Addleson, Mark",9780415128148,1995,Routledge,"Business & Law; Family, Childhood, & Education; Health; Science & Technology; Social Issues"
   139,Ernest Hemingway: Seven Decades of Criticism,"Wagner-Martin, Linda",9780870134890,1998,Michigan State University Press,Fiction & Literature
   140,Essays in Honor of William K. Estes ,"Healy, Alice F.",9780805810974,1992,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
   141,"Ethical Norms, Particular Cases ","Wallace, James D.",9780801432132,1996,Cornell University Press,Philosophy; Social Issues
   142,Ethics across the Curriculum: The Marquette Experience,"Ashmore, R.",9780874629989,1991,Marquette University Press,Philosophy
   143,"Eugenics and the Welfare State: Sterilization Policy in Denmark, Sweden, Norway, and Finland","Broberg, Gunnar",9780870134135,1996,Michigan State University Press,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
   144,Evaluation: A Systematic Approach,"Rossi, Peter H.",9780803911796,1979,Sage Publications,Social Issues
   145,Evolution of the Psyche ,"Rosen, D. H.",9780275963125,1999,Praeger Publishers,"Family, Childhood, & Education; Health; Science & Technology"
   146,Experiment-Research Methodology in Marketing: Types and Applications,"Patzer, Gordon L.",9780899309606,1996,Quorum Books,Business & Law
   147,Extending the Boundaries of Care: Medical Ethics and Caring Practices,"Kohn, Tamara",9781859731369,1999,Berg,Social Issues
   148,Failed Revolutions: Social Reform and the Limits of Legal Imagination,"Delgado, Richard",9780813318073,1994,Westview Press,History & Social Studies; Social Issues
   149,Fair Trial: Rights of the Accused in American History,"Bodenhamer, David J.",9780195055580,1992,Oxford University Press,Social Issues; True Crime
   150,"Families, Politics and the Law: Perspectives for East and West Europe","MacLean, Mavis",9780198258100,1994,Oxford University,Business & Law; Social Issues
   151,Fantasy and Reconciliation: Contemporary Formulas of Women's Romance Fiction,"Mussell, Kay",9780313239151,1984,Greenwood Press,Fiction & Literature
   152,Feminist Theological Ethics: A Reader,"Daly, Lois K.",9780664253271,1994,Westminster/John Knox Press,Social Issues
   153,Feudal Society ,"Bloch, Marc",9780415039185,1989,Routledge,History & Social Studies
   154,Fiction in the Quantum Universe ,"Strehle, Susan",9780807820247,1992,University of North Carolina Press,Fiction & Literature; Philosophy
   155,"Field, Forest, and Family: Women's Work and Power in Rural Laos","Ireson, Carol",9780813389363,1996,Westview Press,Business & Law; Social Issues
   156,Fifty Key Figures in Twentieth Century British Politics ,"Laybourn, Keith",9780415226769,2002,Routledge,Biography; History & Social Studies; Social Issues; Travel & Places
   157,Finance: A Characteristics Approach,"Blake, David",9780415212908,2000,Routledge,Business & Law
   158,"Food, Health, and Identity ","Caplan, Patricia",9780415156790,1997,Routledge,"Family, Childhood, & Education; Food & Home; Health; Social Issues"
   159,Formal Grammar: Theory and Implementation,"Levine, Robert",9780195073140,1992,Oxford University Press,Reference & Languages
   160,Foundations of Cognitive Science: The Essential Readings,"Garfield, Jay L.",9781557782571,1990,Paragon House,Science & Technology
   161,"Foundations of Ethical Practice, Research, and Teaching in Psychology ","Strohm Kitchener, Karen",9780805823097,2000,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology"
   162,Free Press Vs. Fair Trials:  Examining Publicity's Role in Trial Outcomes,"Bruschke, Jon",9780805843255,2004,Lawrence Erlbaum Associates,History & Social Studies; Reference & Languages; Social Issues
   163,Freud Revisited: Psychoanalytic Themes in the Postmodern Age,"Horrocks, Roger",9780333746479,2001,Palgrave,Health; Science & Technology
   164,From Child Abuse to Permanency Planning: Child Welfare Services Pathways and Placements,"Barth, Richard P.",9780202360850,1994,Aldine De Gruyter,"Family, Childhood, & Education; Social Issues"
   165,"Froth & Scum: Truth, Beauty, Goodness, and the Ax Murder in America's First Mass Medium","Tucher, Andie",9780807821626,1994,University of North Carolina Press,Reference & Languages
   166,G. W. F. Hegel: The Philosophical System,"Kainz, Howard P.",9780821412312,1996,Ohio University Press,History & Social Studies; Philosophy
   167,"Gender in Caribbean Development:  Papers Presented at the Inaugural Seminar of the University of the West Indies, Women and Development Studies Project","Mohammed, Patricia",9789768125552,1999,Canoe Press,Social Issues
   168,Gender Politics and Mtv: Voicing the Difference,"Lewis, Lisa A.",9780877226932,1990,Temple University Press,"Business & Law; Music, TV, Movies, & more"
   169,"Gender, Power, and Communication in Human Relationships ","Kalbfleisch, Pamela J.",9780805814033,1995,Lawrence Erlbaum Associates,Reference & Languages
   170,George Orwell ,"Wemyss, Courtney T.",9780313260797,1987,Greenwood Press,Fantasy; Fiction & Literature
   171,"George Wallace, Richard Nixon, and the Transformation of American Politics ","Carter, Dan T.",9780918954589,1992,Markham Press Fund,Biography; History & Social Studies; Social Issues; Travel & Places
   172,Georges Clemenceau: A Political Biography,"Watson, Donald R.",9780679507031,1976,D. McKay,Biography; Social Issues
   173,"Global Economy, Global Justice: Theoretical Objections and Policy Alternatives to Neoliberalism","DeMartino, George",9780415124270,2000,Routledge,Business & Law; History & Social Studies; Social Issues
   174,"Globalization, Privatization and Free Market Economy ","Rao, C. P.",9781567200751,1998,Quorum Books,Business & Law; Social Issues
   175,Globalization:  Culture and Education in the New Millennium,"Suarez-Orozco, Marcelo",9780520241237,2004,University of California Press,"Family, Childhood, & Education; History & Social Studies; Social Issues"
   176,Gloria Naylor's Early Novels ,"Kelley, Margot A.",9780813016498,1999,University Press of Florida,Fiction & Literature
   177,"Goal Attainment Scaling: Applications, Theory, and Measurement","Kiresuk, Thomas",9780898598896,1994,Lawrence Erlbaum Associates,Health; Science & Technology
   178,God and Global Justice: Religion and Poverty in an Unequal World,"Ferré, Frederick",9780913757369,1985,Paragon Press,Religion & Beliefs
   179,God's Name in Vain: How Religion Should and Should Not Be Involved in Politics,"Carter, Stephen L.",9780465008865,2000,Basic Books,Religion & Beliefs; Social Issues
   180,Good Citizenship and Educational Provision ,"Davies, Ian",9780750709606,1999,Falmer Press,Social Issues
   181,"Government, Ethics, and Managers: A Guide to Solving Ethical Dilemmas in the Public Sector","Steinberg, Sheldon S.",9780275936372,1990,Praeger Publishers,Social Issues
   182,Greek and Roman Technology:  A Sourcebook: Annotated Translations of Greek and Latin Texts and Documents,"Humphrey, John W.",9780415061360,1998,Routledge,History & Social Studies; Science & Technology; Travel & Places
   183,Group 47: the Reflected Intellect ,"Mandel, Siegfried",9780809306411,1973,Southern Illinois University Press,History & Social Studies
   184,"Groups, Teams, and Social Interaction: Theories and Applications","Hare, A. Paul",9780275938901,1992,Praeger Publishers,Health; Science & Technology; Social Issues
   185,Handbook of Communication and Aging Research ,"Nussbaum, Jon F.",9780805814538,1995,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Social Issues"
   186,Handbook of International Research in Mathematics Education ," Lyn D.",9780805833713,2002,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Science & Technology"
   187,Handbook of Parenting ,"Bornstein, Marc H.",9780805837780,2002,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Social Issues"
   188,Handbook of Research and Policy in Art Education ,"Eisner, Elliot W.",9780805849714,2004,Lawrence Erlbaum Associates,Art; Travel & Places
   189,"Handbook on Ethnicity, Aging, and Mental Health ","Padgett, Deborah K.",9780313282041,1995,Greenwood Press,Science & Technology; Social Issues
   190,"Henry James's Daisy Miller, the Turn of the Screw, and Other Tales ","Bloom, Harold",9781555460075,1987,Chelsea House,Fiction & Literature
   191,Hero of Beecher Island: The Life and Military Career of George A. Forsyth,"Dixon, David",9780803217003,1994,University of Nebraska Press,Biography; History & Social Studies; Military; Travel & Places
   192,Higher Education for Everybody? Issues and Implications,"Furniss, W. Todd",9780826813190,1971,American Council on Education,"Family, Childhood, & Education; Social Issues"
   193,Higher Education through Open and Distance Learning ,"Harry, Keith",9780415197915,1999,Routledge,"Family, Childhood, & Education; Social Issues"
   194,"Hills beyond a River: Chinese Painting of the Yuan Dynasty, 1279-1368","Cahill, James",9780834801202,1976,Weatherhill,Art; Travel & Places
   195,History at the Limit of World-History ,"Guha, Ranajit",9780231124188,2002,Columbia University Press,Biography; Fiction & Literature; History & Social Studies
   196,Hitler's Mind: A Plunge into Madness,"Schwaab, Edleff H.",9780275941321,1992,Praeger Publishers,Biography; History & Social Studies; Social Issues; Travel & Places
   197,"Holy War, Holy Peace: How Religion Can Bring Peace to the Middle East","Gopin, Marc",9780195146509,2002,Oxford University Press,History & Social Studies; Religion & Beliefs; Social Issues; Travel & Places
   198,Honest Government: An Ethics Guide for Public Service,"Cody, W. J.",9780275943769,1992,Praeger,Social Issues
